SPBC106.09	cut4	K03348	anaphase-promoting complex subunit Apc1
SPAC17A5.06	ptr8	K10843	transcription factor TFIIH complex ERCC-3 subunit
SPAC2F3.03c	rpa49	K03005	DNA-directed RNA polymerase I complex subunit Rpa49 (predicted) 
SPCC24B10.11c	mft1	K13176	THO complex subunit 7 Mft1 (predicted)
SPBC24C6.05	sec28	K17268	coatomer epsilon subunit (predicted)
SPAPB18E9.01	trm5	K15429	tRNA (guanine) methyltransferase Trm5
SPAC25G10.05c	his1	K00765	ATP phosphoribosyltransferase 
SPAC18B11.07c	rhp6	K10573	ubiquitin-conjugating enzyme E2 2 
SPBC23E6.03c	nta1	K14663	protein N-terminal amidase nta1 
SPCC320.09	hem15	K01772	ferrochelatase (predicted) 
SPAC20H4.11c	rho5	K07975	Rho family GTPase Rho5
SPAC19B12.05c	fcp1	K15732	CTD phosphatase Fcp1 
SPBP8B7.14c	dpb2	K02325	DNA polymerase epsilon catalytic subunit B, Dpb2
SPCC16A11.04	snx12	K17887	sorting nexin Snx12 (predicted)
SPAC9G1.12	cpd1	K07442	tRNA (m1A) methyltransferase complex catalytic subunit Cpd1 
SPBC106.17c	cys2	K00641	homoserine O-acetyltransferase (predicted) 
SPCC1494.02c	taf13	K03127	transcription factor TFIID complex subunit Taf13 (predicted)
SPAC222.12c	atp2	K02133	F1-ATPase beta subunit Atp2 
SPBC3D6.10	apn2	K10772	AP-endonuclease Apn2
SPBC3D6.15	rps2501	K02975	40S ribosomal protein S25
SPCC18.07	rpc53	K03026	DNA-directed RNA polymerase III complex subunit Rpc53 (predicted)
SPCC18.04	pof6	K15071	F-box protein Pof6
SPBC725.02	mpr1	K11232	histidine-containing response regulator phosphotransferase Mpr1
SPCC70.07c	tmp1	K00943	thymidylate kinase Tmp1 
SPAC2G11.07c	ptc3	K04457	protein phosphatase 2C 
SPAC926.07c	dlc2	K10418	dynein light chain Dlc2 (predicted)
SPAP27G11.13c	nop10	K11130	snoRNP pseudouridylase box H/ACA snoRNP complex protein (predicted)
SPBC29A3.10c	atp14	K02141	F1-ATPase subunit H (predicted)
SPAC637.12c	mst1	K11304	KAT5 family histone acetyltransferase Mst1
SPAC644.17c	mrpl9	K02906	mitochondrial ribosomal protein subunit L9 (predicted)
SPBC21B10.11	dpm2	K09658	dolichol-phosphate mannosyltransferase subunit 2 (predicted)
SPBC21B10.10	rps402	K02987	40S ribosomal protein S4
SPBC21B10.14	ymr31	K17417	mitochondrial ribosomal protein Ymr1 (predicted)
SPAC2C4.03c	smd2	K11096	Sm snRNP core protein Smd2
SPAC3G9.08	png1	K11396	chromatin modification-related protein
SPBC56F2.10c	alg5	K00729	dolichyl-phosphate beta-glucosyltransferase Alg5 (predicted) 
SPCC16C4.09	sts5	K18748	RNB-like protein
SPAC3G9.04	ssu72	K15544	phosphoric ester hydrolase Ssu72 (predicted) 
SPAC3G9.06	frs2	K01889	cytoplasmic phenylalanine-tRNA ligase alpha subunit Frs2 (predicted) 
SPAC3G9.03	rpl2301	K02894	60S ribosomal protein L23
SPCC330.13	rpc37	K14721	DNA-directed RNA polymerase III complex subunit Rpc37 (predicted)
SPCC330.10	pcm1	K00565	P-TEFb-cap methyltransferase Pcm1 
SPAC8C9.06c	ppr4	K17669	mitochondrial translation regulator Ppr4
SPAC144.11	rps1102	K02949	40S ribosomal protein S11
SPCC16A11.05c	dim1	K12859	U4/U6 X U5 tri-snRNP complex subunit Dim1
SPAC3H1.13	ppk13	K08856	serine/threonine protein kinase Ppk13 (predicted)
SPAC144.18	vrg4	K15356	Golgi GDP-mannose transporter Vrg4 (predicted)
SPAPB1A10.09	ase1	K16732	antiparallel microtubule cross-linking factor Ase1
SPAC29A4.20	elp3	K07739	elongator complex, histone acetyltransferase subunit Elp3 (predicted)
SPBC26H8.10	dis3	K12585	3'-5' exoribonuclease subunit Dis3 (predicted)
SPBC12D12.02c	cdm1	K03505	DNA polymerase delta subunit Cdm1
SPBC887.18c	hfi1	K11362	SAGA complex subunit Hfi1
SPAC22H10.12c	gdi1	K17255	GDP dissociation inhibitor Gdi1 (predicted)
SPAC23C11.11	cka1	K03097	serine/threonine protein kinase Cka1 
SPBC13G1.12	did2	K12197	ESCRT III complex subunit Did2 (predicted)
SPBC13G1.13	tfb2	K03144	transcription factor TFIIH complex subunit Tfb2
SPAC23C11.14	zhf1	K14688	zinc ion transporter Zhf1
SPBC13G1.11	ykt6	K08516	SNARE Ykt6 (predicted)
SPBC4F6.15c	swi10	K10849	DNA repair endonuclease Swi10 
SPBC211.01	rsm10	K02946	mitochondrial ribosomal protein subunit S10 (predicted)
SPBC211.05	sab10	K12832	splicing factor 3B (predicted)
SPAC57A7.08	pzh1	K06269	serine/threonine protein phosphatase Pzh1
SPAC2C4.14c	ppk11	K08838	PAK-related kinase Ppk11
SPBC428.13c	mob1	K06685	Sid2-Mob1 kinase complex regulatory subunit Mob1
SPBC19G7.03c	rps3002	K02983	40S ribosomal protein S30
SPBP35G2.13c	swc2	K11664	Swr1 complex complex subunit Swc2
SPBC16H5.09c	omh2	K10967	alpha-1,2-mannosyltransferase Omh2 (predicted) 
SPAC1296.02	cox4	K02265	cytochrome c oxidase subunit IV (predicted)
SPBC776.18c	pmh1	K10842	transcription factor TFIIH complex subunit Pmh1
SPAC1296.06	tah18	K00327	NADPH-dependent diflavin oxidoreductase, involved in iron-sulfur cluster assembly Tah18 (predicted)
SPAC23C4.03	hrk1	K16315	haspin related kinase Hrk1
SPAC20G4.04c	hus1	K10903	checkpoint clamp complex protein Hus1
SPAPB1A10.10c	ypt71	K07976	GTPase Ypt71
SPCC290.03c	nup186	K14310	nucleoporin Nup186
SPAC31G5.03	rps1101	K02949	40S ribosomal protein S11
SPAC22H12.02	tfg3	K03140	transcription factor TFIIF complex subunit Tfg3
SPAC31G5.01	sap49	K12831	U2 snRNP-associated RNA-binding protein Sap49
SPAC22H10.07	scd2	K11237	scaffold protein Scd2
SPAC31G5.08	ups1	K01719	uroporphyrinogen-III synthase Ups1 
SPAC664.15	caf4	K17970	CCR4-Not complex subunit Caf4/Mdv1 (predicted)
SPAC664.10	klp2	K10405	kinesin-like protein Klp2
SPAC664.11	ssc1	K04043	mitochondrial heat shock protein Hsp70
SPBC19G7.09	ulp1	K08592	SUMO deconjugating enzyme Ulp1
SPBC1604.13c	mrpl32	K02911	mitochondrial ribosomal protein subunit L32 (predicted)
SPAC140.02	gar2	K11294	nucleolar protein required for rRNA processing
SPAC140.01	sdh2	K00235	succinate dehydrogenase iron-sulfur subunit protein 
SPBP23A10.08	alp5	K11400	actin-like protein Arp4
SPBP23A10.09	psf1	K10732	GINS complex subunit Psf1
SPBP23A10.07	rpa2	K03002	DNA-directed RNA polymerase I complex subunit Rpa2 
SPBP23A10.04	apc2	K03349	anaphase-promoting complex cullin family subunit Apc2
SPAC3A12.18	zwf1	K00036	glucose-6-phosphate 1-dehydrogenase (predicted) 
SPAC3A12.12	atp11	K07555	F1-ATPase chaperone Atp11 (predicted)
SPAC4D7.08c	ade4	K00764	amidophosphoribosyltransferase Ade4 
SPAC3A12.14	cam1	K02183	calmodulin Cam1
SPBC13E7.05	gpi14	K05284	pig-M (predicted)
SPBC13E7.04	atp16	K02134	F1-ATPase delta subunit (predicted)
SPBC13E7.01	cwf22	K13100	splicing factor Cwf22
SPBC13E7.02	cwf24	K13127	zf-C3HC4 type (RING finger)/GCN5-related N acetyltransferase fusion protein
SPAC23A1.15c	sec20	K08497	SNARE Sec20 (predicted)
SPBC27B12.01c	mmm1	K17764	Mdm10/Mdm12/Mmm1 complex subunit Mmm1 (predicted)
SPAC18G6.04c	shm2	K00600	serine hydroxymethyltransferase Shm2 (predicted) 
SPCC320.13c	ark1	K08850	aurora-B kinase Ark1
SPAC959.09c	apc5	K03352	anaphase-promoting complex subunit Apc5
SPCC1183.08c	rpl101	K02865	60S ribosomal protein L1
SPBC17D11.02c	hrd1	K10601	ubiquitin-protein ligase Hrd1, synviolin family
SPAC6F12.09	rdp1	K11699	RNA-directed RNA polymerase Rdp1 
SPAC17G8.13c	mst2	K11378	histone acetyltransferase Mst2
SPAC6F12.07	tom20	K17770	mitochondrial TOM complex subunit Tom20 (predicted)
SPAC23A1.08c	rpl3401	K02915	60S ribosomal protein L34
SPBC16H5.07c	ppa2	K04382	serine/threonine protein phosphatase Ppa2 
SPAC6G9.02c	nop9	K14790	RNA-binding protein Nop9 (predicted)
SPCC306.04c	set1	K11422	histone lysine methyltransferase Set1
SPBC11C11.03	ndc80	K11547	spindle pole body protein Ndc80
SPBC11C11.07	rpl1801	K02883	60S ribosomal protein L18
SPCC970.01	rad16	K10848	DNA repair endonuclease XPF 
SPAC22F3.08c	rok1	K14779	ATP-dependent RNA helicase Rok1 (predicted)
SPCC970.05	rpl3601	K02920	60S ribosomal protein L36
SPAC3H5.07	rpl702	K02937	60S ribosomal protein L7
SPAC15F9.02	seh1	K14299	nucleoporin Seh1
SPAC4G9.09c	arg11	K12659	N-acetyl-gamma-glutamyl-phosphate reductase/acetylglutamate kinase 
SPAC23C4.16c	atg15	K17900	autophagy associated lipase Atg15
SPAC23H4.07c	srp102	K12272	signal recognition particle receptor beta subunit Srp102 (predicted)
SPCC330.01c	rhp16	K15083	ATP-dependent helicase
SPBC31F10.04c	srb4	K15134	mediator complex subunit Srb4
SPAC27D7.14c	tpr1	K15176	RNA polymerase II associated Paf1 complex subunit Tpr1
SPAC3C7.06c	pit1	K12765	serine/threonine protein kinase, meiotic Pit1
SPAC23H3.02c	ini1	K12834	RING finger-like protein Ini1
SPBC1604.25	pet117	K18188	Pet117 cytochrome c oxidase assembly protein
SPCC162.07	ent1	K12471	epsin
SPAC13F5.03c	gld1	K00005	mitochondrial glycerol dehydrogenase Gld1
SPBC21H7.05	sfc6	K15205	transcription factor TFIIIC complex subunit Sfc6
SPBC21H7.04	dbp7	K14806	ATP-dependent RNA helicase Dbp7 (predicted)
SPAC8E11.07c	alp31	K17292	tubulin specific chaperone cofactor A, Alp31
SPBC21H7.02	taf10	K03134	SAGA complex/transcription factor TFIID complex subunit Taf10
SPAC5D6.06c	alg14	K07441	UDP-GlcNAc transferase associated protein Alg14 (predicted)
SPBC215.12	cwf10	K12852	GTPase Cwf10 (predicted)
SPBC146.07	prp2	K12837	U2AF large subunit (U2AF-59)
SPAC17A5.07c	ulp2	K08596	SUMO deconjugating cysteine peptidase Ulp2 (predicted)
SPBC146.01	med15	K15158	mediator complex subunit Med15
SPAC23H4.11c	cnl2	K11696	centromere localized protein Cnl2
SPCC622.09	htb1	K11252	histone H2B Htb1
SPBC405.04c	ypt7	K07897	GTPase Ypt7
SPBC2D10.10c	fib1	K14563	fibrillarin
SPCC1682.01	qcr9	K00419	ubiquinol-cytochrome-c reductase complex subunit 9 (predicted) 
SPBC29A3.15c	rsm23	K17408	mitochondrial ribosomal protein subunit S23 (predicted)
SPCC1919.14c	bdp1	K15198	transcription factor TFIIIB complex subunit Bdp1 (predicted)
SPCC1682.04	cdc31	K16466	centrin
SPCC1682.07	ssl1	K03142	transcription factor TFIIH complex subunit Ssl1
SPAP8A3.09c	paa1	K03456	protein phosphatase regulatory subunit Paa1
SPBC18E5.03c	sim4	K11698	kinetochore protein sim4
SPCC320.12	atp23	K18156	mitochondrial inner membrane peptidase Atp23 (predicted)
SPCC320.10	srp72	K03108	signal recognition particle subunit Srp72 (predicted)
SPBC3B8.10c	nem1	K17617	Nem1-Spo7 phosphatase complex catalytic subunit Nem1 (predicted)
SPBPB2B2.10c	gal7	K00965	galactose-1-phosphate uridylyltransferase Gal7 
SPAC13G6.12c	chs1	K00698	chitin synthase I 
SPAC3H5.05c	rps1401	K02955	40S ribosomal protein S14
SPAC1805.09c	fmt1	K00604	methionyl-tRNA formyltransferase Fmt1 (predicted)
SPCC1235.07	fta7	K11697	kinetochore protein fta7
SPBC3D6.07	gpi3	K03857	pig-A, phosphatidylinositol N-acetylglucosaminyltransferase subunit Gpi3 (predicted) 
SPBC3D6.05	ptp4	K16368	phosphatidate cytidylyltransferase Ptp4 (predicted)
SPBC725.15	ura5	K00762	orotate phosphoribosyltransferase Ura5 
SPBC725.14	arg6	K00618	acetylglutamate synthase Arg6 (predicted) 
SPBC3D6.09	dpb4	K02326	DNA polymerase epsilon subunit Dpb4
SPBC30D10.06	lsm4	K12623	U6 snRNP-associated protein Lsm4 (predicted)
SPBC30D10.04	swi3	K10998	replication fork protection complex subunit Swi3
SPBC4.05	mlo2	K11979	ubiquitin protein ligase E3 component mlo2
SPAC16E8.06c	nop12	K14837	RNA-binding protein Nop12 (predicted)
SPAC26F1.04c	etr1	K07512	enoyl-[acyl-carrier protein] reductase (predicted) 
SPCC285.16c	msh6	K08737	DNA mismatch repair protein
SPCPB16A4.04c	trm8	K03439	tRNA (guanine-N7-)-methyltransferase catalytic subunit Trm8 
SPBC3E7.02c	hsp16	K13993	heat shock protein Hsp16
SPAC23E2.01	fep1	K09184	iron-sensing transcription factor Fep1
SPBC582.07c	rpn7	K03037	19S proteasome regulatory subunit Rpn7
SPAC3G9.12	peg1	K16578	CLASP family microtubule-associated protein
SPBP8B7.06	rpp201	K02943	60S acidic ribosomal protein P2A
SPAC3G9.14	sak1	K09175	transcriptional repressor Sak1
SPAC343.16	lys2	K01705	homoaconitate hydratase Lys2 
SPAC343.15	tit1	K00791	tRNA isopentenyltransferase (predicted)
SPAC343.10	met11	K00297	methylenetetrahydrofolate reductase Met11 
SPAPB1A10.11c	mse1	K01885	mitochondrial glutamyl-tRNA synthetase Mse1 (predicted) 
SPBC1105.02c	lys4	K01655	homocitrate synthase (predicted) 
SPBC15D4.07c	atg9	K17907	autophagy associated protein Atg9
SPCC330.02	rhp7	K15082	DNA repair protein
SPBC409.21	sec66	K12273	ER protein translocation subcomplex subunit Sec66 (predicted)
SPCC330.08	alg11	K03844	alpha-1,2-mannosyltransferase Alg11 
SPBC15D4.10c	amo1	K14321	nuclear rim protein Amo1
SPBC211.07c	ubc8	K10576	ubiquitin conjugating enzyme Ubc8 (predicted)
SPAC5D6.05	sep11	K15136	mediator complex subunit Pmc6
SPAC5D6.01	rps2202	K02957	40S ribosomal protein S22
SPAC26F1.13c	lrs1	K01869	cytoplasmic leucine-tRNA ligase Lrs1 (predicted) 
SPAC29A4.16	hal4	K08286	halotolerence protein 4
SPAC23C11.09	ala1	K01872	mitochondrial and cytoplasmic alanine-tRNA ligase Ala1 (predicted) 
SPAC29A4.10	rrn5	K15217	RNA polymerase I upstream activation factor complex subunit Rrn5
SPAC644.14c	rhp51	K04482	RecA family recombinase Rhp51
SPCC364.03	rpl1702	K02880	60S ribosomal protein L17
SPAC29A4.18	prw1	K10752	Clr6 histone deacetylase complex subunit Prw1
SPCC364.06	nap1	K11279	nucleosome assembly protein Nap1
SPBC800.06	brx1	K14820	ribosome biogenesis protein brx1
SPBC16D10.09	pcn1	K04802	DNA polymerase delta processivity factor
SPAP7G5.06	per1	K16261	amino acid permease
SPAP7G5.05	rpl1002	K02866	60S ribosomal protein L10
SPBC800.03	clr3	K11407	histone deacetylase (class II) Clr3
SPBC16D10.02	trm11	K15430	tRNA (guanine-N2-)-methyltransferase catalytic subunit Trm11
SPBC16D10.03	pgp2	K15900	metallopeptidase Pgp2 
SPAP8A3.12c	tpp2	K01280	tripeptidyl-peptidase II Tpp2 
SPBC800.08	gcd10	K03256	tRNA (m1A) methyltransferase, translation initiation factor eIF-3 gamma subunit Gcd10 (predicted)
SPBC800.09	sum2	K18749	G2/M transition checkpoint protein Sum2
SPBC16D10.05	mok13	K00749	alpha-1,3-glucan synthase Mok13 
SPAC2F7.06c	pol4	K10981	DNA polymerase X family 
SPBC336.04	cdc6	K02327	DNA polymerase delta catalytic subunit Cdc6 
SPBC19C7.09c	uve1	K13281	endonuclease Uve1 
SPBC336.07	sfc3	K15204	transcription factor TFIIIC complex B box binding subunit Sfc3
SPBC336.01	fbh1	K10300	DNA helicase I
SPAC16E8.07c	vph1	K02154	V-type ATPase V0 subunit a (predicted)
SPAC29A4.19c	cta5	K14951	Ca2+/Mn2+ transporting P-type ATPase P5 type Cta5
SPBC336.08	spc24	K11557	spindle pole body protein Spc24
SPAC1B3.21	tam3	K18176	mitochondrial conserved protein
SPAC31G5.16c	dpm1	K00721	dolichol-phosphate mannosyltransferase catalytic subunit Dpm1 
SPAC16C9.03	nmd3	K07562	export adaptor Nmd3 (predicted)
SPAC3H1.07	aru1	K01476	arginase Aru1 
SPBC1271.13	mrpl8	K02879	mitochondrial ribosomal protein subunit L8 (predicted)
SPCC285.09c	cgs2	K01120	cAMP-specific phosphodiesterase Cgs2 
SPBC1815.01	eno101	K01689	enolase (predicted) 
SPBC1921.07c	sgf29	K11364	SAGA complex subunit Sgf29
SPAC664.09	ggt1	K18592	gamma-glutamyltranspeptidase Ggt1 
SPAC664.05	rpl13	K02873	60S ribosomal protein L13
SPAC664.06	rlp7	K02937	ribosome biogenesis protein rlp7
SPBC1198.13c	tfg2	K03139	transcription factor TFIIF complex beta subunit Tfg2 (predicted)
SPBC1734.05c	spf31	K09528	DNAJ protein Spf31 (predicted)
SPAC3H5.10	rpl3202	K02912	60S ribosomal protein L32
SPBP23A10.10	ppk32	K17541	serine/threonine protein kinase Ppk32 (predicted)
SPBP23A10.13	orc4	K02606	origin recognition complex subunit Orc4
SPBP23A10.12	frg1	K13122	FRG1 family protein, involved in mRNA processing (predicted)
SPBPB2B2.13	gal1	K00849	galactokinase Gal1 
SPBP23A10.16	sdh4	K00237	TIM22 inner membrane protein import complex anchor subunit Tim18
SPAC31A2.07c	dbp10	K14808	ATP-dependent RNA helicase Dbp10 (predicted)
SPCC1494.05c	ubp12	K11835	CSN-associated deubiquitinating enzyme Ubp12
SPBC16G5.12c	top3	K03165	DNA topoisomerase III 
SPAC24H6.03	cul3	K03869	cullin 3
SPAC24H6.06	sld3	K10731	DNA replication pre-initiation complex subunit Sld3
SPAC24H6.07	rps901	K02997	40S ribosomal protein S9
SPAC24H6.04	hxk1	K00844	hexokinase 1 
SPAC24H6.05	cdc25	K02555	M phase inducer phosphatase Cdc25 
SPAC6F12.12	par2	K11584	protein phosphatase regulatory subunit Par2
SPCC965.08c	alr1	K01775	alanine racemase Alr1 
SPAC6F12.17	rna14	K14408	mRNA cleavage and polyadenylation specificity factor complex subunit Rna14 (predicted)
SPAC6F12.14	cut23	K03355	anaphase-promoting complex subunit Apc8
SPBC342.02	qrs1	K01886	cytoplasmic glutaminyl-tRNA ligase Qrs1 (predicted) 
SPAC23H4.10c	thi4	K14154	thiamine-phosphate dipyrophosphorylase/hydroxyethylthiazole kinase 
SPBC1861.01c	cnp3	K11497	centromere protein
SPAC17C9.01c	nuc2	K03350	anaphase-promoting complex subunit Apc3
SPAC4H3.05	srs2	K03657	ATP-dependent DNA helicase, UvrD subfamily 
SPBC9B6.10	cdc37	K09554	Hsp90 co-chaperone Cdc37
SPAC139.02c	oac1	K15117	mitochondrial anion transporter (predicted)
SPBC660.07	ntp1	K01194	alpha,alpha-trehalase Ntp1 
SPAC4F10.07c	atg13	K08331	autophagy associated protein kinase regulatory subunit Atg13
SPAC1783.06c	atg12	K08336	autophagy associated ubiquitin-like modifier Atg12
SPBP16F5.04	ubc7	K04555	ubiquitin conjugating enzyme Ubc7/UbcP3 
SPBC646.14c	orc5	K02607	origin recognition complex subunit Orc5
SPBP16F5.02	mcs2	K06634	TFIIH complex cyclin Mcs2
SPAC3G6.09c	tps2	K16055	trehalose-phosphate synthase Tps2 (predicted) 
SPAC12G12.14c	pfs2	K15542	WD repeat protein Pfs2
SPAC1486.04c	alm1	K09291	medial ring protein Alm1
SPAC8F11.09c	nnt1	K17878	nicotinamide N-methyltransferase Nnt1 (predicted)
SPBC839.12	rpc31	K03024	DNA-directed RNA polymerase III complex subunit Rpc31
SPAC2F7.15	rsm24	K17413	mitochondrial ribosomal protein subunit S24 (predicted)
SPBC4C3.05c	nuc1	K02999	DNA-directed RNA polymerase I complex large subunit Nuc1 
SPAC6F12.13c	fps1	K00787	geranyltranstransferase Fps1 
SPBC1604.11	atp17	K02139	F0-ATPase subunit F (predicted) 
SPBC1604.10	srb7	K15152	mediator complex subunit Srb7
SPBC1604.15	gpi16	K05292	pig-T (predicted)
SPAC1D4.11c	lkh1	K08287	dual specificity protein kinase Lkh1 
SPAC3A11.12c	rpt5	K03065	19S proteasome regulatory subunit Rpt5 (predicted)
SPBC1778.08c	arc3	K05756	ARP2/3 actin-organizing complex subunit Arc21
SPCP31B10.08c	rpl35a	K02917	60S ribosomal protein L33
SPAC1F3.04c	tsr3	K09140	SSU-rRNA maturation protein Tsr3 (predicted)
SPBC16D10.11c	rps1801	K02964	40S ribosomal protein S18
SPBC1709.04c	cyp3	K09567	cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp3 
SPBC12C2.12c	glo1	K01759	glyoxalase I 
SPBC577.15c	sim3	K11372	NASP family CENP-A chaperone
SPAC1805.15c	pub2	K10591	HECT-type ubiquitin-protein ligase Pub2
SPBC9B6.05c	lsm3	K12622	U6 snRNP-associated protein Lsm3 (predicted)
SPBC106.18	rpl2501	K02893	60S ribosomal protein L25
SPBP8B7.16c	dbp2	K12823	ATP-dependent RNA helicase Dbp2
SPBC106.10	pka1	K04345	cAMP-dependent protein kinase catalytic subunit Pka1 
SPBC106.16	pre6	K02731	20S proteasome component alpha 4 Pre6 
SPBC3B9.16c	nup120	K14303	nucleoporin Nup120
SPBC25H2.18	cox20	K18184	mitochondrial respiratory chain complex IV assembly protein Cox20 (predicted)
SPBC106.15	idi1	K01823	isopentenyl-diphosphate delta-isomerase Idi1 
SPCC18B5.11c	cds1	K02831	replication checkpoint kinase cds1
SPCC18.11c	sdc1	K14965	Dpy-30 domain protein Sdc1
SPCC1682.14	rpl1902	K02885	60S ribosomal protein L19
SPCC1682.10	rpn8	K03038	19S proteasome regulatory subunit Rpn8 (predicted)
SPAC25G10.07c	cut7	K10398	kinesin-like protein Cut7
SPBC4B4.10c	atg5	K08339	autophagy associated protein Atg5
SPCC895.04c	ufe1	K08492	SNARE Ufe1 (predicted)
SPAC4A8.08c	vrs2	K01873	mitochondrial valine-tRNA ligase Vrs2/Vas2 
SPBC2F12.13	klp5	K10401	kinesin-like protein Klp5
SPAP14E8.03	bos1	K08496	SNARE Bos1 (predicted)
SPAC24B11.13	hem3	K01749	hydroxymethylbilane synthase (predicted) 
SPCP1E11.11	puf6	K14844	Puf family RNA-binding protein Puf6 (predicted)
SPAC4G9.08c	rpc2	K03021	DNA-directed RNA polymerase III complex subunit Rpc2 
SPAC17G6.09	sec62	K12275	ER protein translocation subcomplex subunit Sec62 (predicted)
SPCC584.04	sup35	K03267	translation release factor class II eRF3
SPAC17G6.06	rps2401	K02974	40S ribosomal protein S24
SPBC211.04c	mcm6	K02542	MCM complex subunit Mcm6
SPAP27G11.15	slx1	K15078	structure-specific endonuclease catalytic subunit
SPBC18E5.11c	edc3	K12615	enhancer of mRNA decapping Edc3 (predicted)
SPAC630.03	arp3	K18584	actin-like protein Arp3
SPAC21E11.03c	pcr1	K09051	transcription factor Pcr1
SPAC1527.01	mok11	K00749	alpha-1,3-glucan synthase Mok11 
SPAC1142.07c	vps32	K12194	ESCRT III complex subunit Vps32
SPAP7G5.02c	gua2	K01951	GMP synthase [glutamine-hydrolyzing] Gua2 (predicted) 
SPBC428.20c	alp6	K16570	gamma tubulin complex Spc98/GCP3 subunit Alp6
SPCC1620.11	nup97	K14309	nuclear pore complex component nup97
SPCC1235.14	ght5	K08139	hexose transporter Ght5
SPCC1235.15	dga1	K14457	diacylglycerol O-acyltransferase Dga1 
SPAC222.03c	tim10	K17778	Tim9-Tim10 complex subunit Tim10 (predicted)
SPBC30D10.11	gpi1	K03860	pig-Q
SPBC30D10.16	pha2	K04518	phrenate dehydratase 
SPAC26H5.10c	tif51	K03263	translation elongation factor eIF5A (predicted)
SPBC2D10.11c	nap2	K11279	nucleosome assembly protein Nap2 (predicted)
SPCC777.09c	arg1	K00818	acetylornithine aminotransferase 
SPAC1D4.06c	csk1	K07760	cyclin-dependent kinase activating kinase Csk1 
SPCC1739.13	ssa2	K03283	heat shock protein Ssa2 (predicted)
SPAC2E12.02	hsf1	K09419	transcription factor Hsf1
SPAC227.07c	pab1	K04354	protein phosphatase regulatory subunit Pab1
SPBC1215.02c	naa25	K17973	NatB N-acetyltransferase complex regulatory subunit Naa25
SPAC343.09	ubx3	K14012	UBX domain protein Ubx3, Cdc48 cofactor
SPAPJ698.03c	prp12	K12830	U2 snRNP-associated protein Sap130 (predicted)
SPAC343.05	vma1	K02145	V-type ATPase V1 domain, subunit A 
SPBC11G11.06c	sme1	K11097	Sm snRNP core protein Sme1
SPAC343.03	apc11	K03358	anaphase-promoting complex subunit Apc11
SPCC4G3.10c	rhp42	K10838	DNA repair protein Rhp42
SPAC6F6.15	ypt5	K07889	GTPase Ypt5
SPAC13G6.11c	erg12	K00869	mevalonate kinase Erg12 (predicted) 
SPCC1795.02c	vcx1	K07300	CaCA proton/calcium exchanger (predicted)
SPAC9G1.15c	mzt1	K18633	mitotic spindle organizing protein Mzt1 (predicted)
SPAC589.11	mug82	K15033	mitochondrial translation release factor (predicted)
SPBC409.10	ade7	K01923	phosphoribosylaminoimidazolesuccinocarboxamide synthase 
SPAC10F6.09c	psm3	K06669	mitotic cohesin complex subunit Psm3
SPBC2F12.07c	rpl802	K02938	60S ribosomal protein L2
SPAC57A10.12c	ura3	K00254	dihydroorotate dehydrogenase Ura3 
SPAC30C2.02	mmd1	K06072	deoxyhypusine hydroxylase (predicted)
SPBC3E7.16c	leu3	K01649	2-isopropylmalate synthase Leu3 
SPAC29A4.05	cam2	K02183	myosin I light chain Cam2
SPAC22E12.17c	glo3	K12493	ARF GTPase activating protein (predicted)
SPBC1198.10c	slm5	K01893	mitochondrial asparagine-tRNA ligase Slm5 (predicted) 
SPBC16D10.10	tad2	K15441	tRNA specific adenosine deaminase subunit Tad2
SPAC27E2.10c	rfc3	K10756	DNA replication factor C complex subunit Rfc3
SPAC10F6.11c	atg17	K08329	autophagy associated protein kinase activator Atg17
SPBC1604.05	pgi1	K01810	glucose-6-phosphate isomerase (predicted) 
SPBC19G7.01c	msh2	K08735	DNA mismatch repair protein
SPAC20G4.06c	adf1	K05765	actin depolymerizing factor, cofilin
SPCC285.15c	rps2802	K02979	40S ribosomal protein S28
SPAC1F7.07c	fip1	K07243	iron permease Fip1
SPAC6F12.15c	cut9	K03353	anaphase-promoting complex subunit Cut9
SPAC2C4.16c	rps801	K02995	40S ribosomal protein S8
SPBC56F2.09c	arg5	K01956	arginine specific carbamoyl-phosphate synthase subunit Arg5 (predicted)
SPBP4H10.11c	lcf2	K01897	long-chain-fatty-acid-CoA ligase 
SPBC1271.02	stt3	K07151	oligosaccharyltransferase subunit Stt3
SPAPB1E7.12	rps602	K02991	40S ribosomal protein S6
SPAC27F1.04c	nuf2	K11548	spindle pole body protein Nuf2
SPBC776.09	ste13	K12614	ATP-dependent RNA helicase Ste13
SPBC776.01	rpl29	K02905	60S ribosomal protein L29
SPAC23A1.04c	mnl1	K10084	alpha mannosidase Mnl1 (predicted)
SPAC1952.11c	ure2	K01427	urease Ure2 
SPAC12G12.13c	cid14	K03514	poly(A) polymerase Cid14 
SPBC26H8.08c	grn1	K14538	GTPase Grn1
SPBC646.17c	dic1	K10415	dynein intermediate chain Dic1
SPBC1773.05c	tms1	K00008	hexitol dehydrogenase (predicted) 
SPAC3H5.04	aar2	K13205	U5 snRNP-associated protein Aar2 (predicted)
SPAC1783.07c	pap1	K09043	transcription factor Pap1/Caf3
SPAC16.03c	ura2	K01465	dihydroorotase Ura2 (predicted) 
SPBC646.02	cwf11	K12874	complexed with Cdc5 protein Cwf11
