Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG10033	for	K07376	foraging 
Dmel_CG6369	Smg6	K11124	CG6369 gene product from transcript CG6369-RA
Dmel_CG42301	CCKLR-17D1	K04196	Cholecystokinin-like receptor at 17D1
Dmel_CG2110	Cyp4ad1	K15001	CG2110 gene product from transcript CG2110-RA 
4827	veil	K01081	CG4827 gene product from transcript CG4827-RB 
16801	Hr51	K08546	Hormone receptor 51
Dmel_CG13441	Gr57a	K08471	Gustatory receptor 57a
4533	l(2)efl	K09542	lethal (2) essential for life
Dmel_CG30390	Sgf29	K11364	SAGA-associated factor 29 ortholog 
Dmel_CG14716	Ho	K00510	Heme oxygenase 
7986	Atg18a	K17908	Autophagy-specific gene 18a
11624	Ubi-p63E	K08770	Ubiquitin-63E
10622	Sucb	K01900	CG10622 gene product from transcript CG10622-RA 
17998	Gprk2	K08291	G protein-coupled receptor kinase 2 
Dmel_CG31096	Lgr3	K04307	Leucine-rich repeat-containing G protein-coupled receptor 3
33449	5SrRNA:CR33449	K01981	5S ribosomal RNA
33448	5SrRNA:CR33448	K01981	5S ribosomal RNA
Dmel_CG6103	CrebB	K09050	Cyclic-AMP response element binding protein B
Dmel_CG33747	primo-2	K14394	CG33747 gene product from transcript CG33747-RC 
Dmel_CG33748	primo-1	K14394	CG33748 gene product from transcript CG33748-RA 
33442	5SrRNA:CR33442	K01981	5S ribosomal RNA
33441	5SrRNA:CR33441	K01981	5S ribosomal RNA
33440	5SrRNA:CR33440	K01981	5S ribosomal RNA
33447	5SrRNA:CR33447	K01981	5S ribosomal RNA
33446	5SrRNA:CR33446	K01981	5S ribosomal RNA
33445	5SrRNA:CR33445	K01981	5S ribosomal RNA
33444	5SrRNA:CR33444	K01981	5S ribosomal RNA
Dmel_CG6965	mthl5	K04599	methuselah-like 5
Dmel_CG8523	Mdr50	K05658	Multi drug resistance 50 
Dmel_CG10837	eIF-4B	K03258	Eukaryotic initiation factor 4B
Dmel_CG3194	Hsepi	K01793	Heparan sulfate C5-epimerase 
Dmel_CG3193	crn	K12869	crooked neck
17223	alpha4GT1	K01988	CG17223 gene product from transcript CG17223-RA 
Dmel_CG10833	Cyp28d1	K15005	CG10833 gene product from transcript CG10833-RA 
Dmel_CG8250	Alk	K05119	CG8250 gene product from transcript CG8250-RB 
9620	nac	K15279	neuronally altered carbohydrate
Dmel_CG17137	Porin2	K15040	CG17137 gene product from transcript CG17137-RB
Dmel_CG1442	eIF4E-6	K03259	CG1442 gene product from transcript CG1442-RA
Dmel_CG13628	Rpb10	K03007	CG13628 gene product from transcript CG13628-RA 
3086	MAPk-Ak2	K04443	MAP kinase activated protein-kinase-2 
7331	Atg13	K08331	Autophagy-specific gene 13
Dmel_CG7562	Trf	K03120	TBP-related factor
Dmel_CG1490	Usp7	K11838	Ubiquitin-specific protease 7
14895	Pak3	K04409	CG14895 gene product from transcript CG14895-RD 
Dmel_CG32721	NELF-B	K15180	CG32721 gene product from transcript CG32721-RA
Dmel_CG13626	Syx18	K08492	Syntaxin 18
Dmel_CG3041	Orc2	K02604	Origin recognition complex subunit 2
Dmel_CG6560	dnd	K07944	dead end
Dmel_CG6563	Art3	K11436	Arginine methyltransferase 3 
Dmel_CG6562	Synj	K01099	Synaptojanin 
Dmel_CG1973	yata	K08876	CG1973 gene product from transcript CG1973-RB
Dmel_CG1972	IntS11	K13148	Integrator 11 
Dmel_CG33102	Hex-t1	K00844	CG33102 gene product from transcript CG33102-RA 
Dmel_CG33100	4EHP	K03259	eIF4E-Homologous Protein
Dmel_CG33101	Nsf2	K06027	N-ethylmaleimide-sensitive factor 2 
Dmel_CG33106	mask	K16726	multiple ankyrin repeats single KH domain
Dmel_CG1978	Or45a	K08471	Odorant receptor 45a
Dmel_CG7210	kel	K10443	kelch
Dmel_CG3228	kz	K14780	kurz 
Dmel_CG7964	Menl-1	K00029	Malic enzyme like-1 
Dmel_CG7962	CdsA	K00981	CDP diglyceride synthetase 
Dmel_CG7908	Tace	K06059	CG7908 gene product from transcript CG7908-RB 
Dmel_CG7217	Prx5	K11187	Peroxiredoxin 5 
Dmel_CG3997	RpL39	K02924	Ribosomal protein L39
Dmel_CG6612	Adk3	K00939	Adenylate kinase-3 
Dmel_CG7748	OstStt3	K07151	Oligosaccharyl transferase 3 
Dmel_CG13158	Or49a	K08471	Odorant receptor 49a
Dmel_CG2448	FucT6	K00717	alpha1,6-fucosyltransferase 
Dmel_CG3991	TppII	K01280	tripeptidyl-peptidase II 
6816	Cyp18a1	K14985	Cytochrome P450-18a1 
Dmel_CG3619	Dl	K06051	Delta
Dmel_CG15845	Adf1	K09427	Adh transcription factor 1
Dmel_CG2522	Gtp-bp	K13431	GTP-binding protein
10578	DnaJ-1	K09510	DnaJ-like-1
10579	Eip63E	K08821	Ecdysone-induced protein 63E 
Dmel_CG8075	Vang	K04510	Van Gogh
10572	Cdk8	K02208	Cyclin-dependent kinase 8 
Dmel_CG9042	Gpdh	K00006	Glycerol 3 phosphate dehydrogenase 
Dmel_CG8989	His3.3B	K11253	Histone H3.3B
Dmel_CG8988	S2P	K07765	site-2 protease 
3231	snama	K10624	something that sticks like glue 
Dmel_CG7698	Cpsf73	K14403	Cleavage and polyadenylation specificity factor 73 
Dmel_CG6692	Cp1	K01365	Cysteine proteinase-1 
1964	Kul	K06704	Kuzbanian-like 
Dmel_CG8980	NiPp1	K13216	Nuclear inhibitor of Protein phosphatase 1
Dmel_CG8983	ERp60	K08056	CG8983 gene product from transcript CG8983-RA 
Dmel_CG7697	CstF-64	K14407	Cleavage stimulation factor 64 kilodalton subunit
Dmel_CG7421	Nopp140	K11294	CG7421 gene product from transcript CG7421-RE
Dmel_CG8987	tam	K02332	tamas 
Dmel_CG7693	fray	K08835	frayed 
18444	alphaTry	K01312	alphaTrypsin 
Dmel_CG14028	cype	K02268	cyclope 
Dmel_CG32346	E(bx)	K11728	Enhancer of bithorax
Dmel_CG2171	Tpi	K01803	Triose phosphate isomerase 
Dmel_CG32343	Atac3	K09454	Ada2a-containing complex component 3 
Dmel_CG7361	RFeSP	K00411	Rieske iron-sulfur protein 
Dmel_CG32616	Ste12DOR	K03115	Stellate 12D orphon
Dmel_CG4321	Cyp4d8	K15001	Cytochrome P450-4d8 
Dmel_CG33819	His1:CG33819	K11275	CG33819 gene product from transcript CG33819-RA
Dmel_CG1751	Spase25	K12947	Spase 25-subunit 
Dmel_CG7425	eff	K06689	effete 
Dmel_CG4326	mRpS17	K02961	mitochondrial ribosomal protein S17
Dmel_CG33810	His1:CG33810	K11275	CG33810 gene product from transcript CG33810-RA
Dmel_CG18531	Gr2a	K08471	Gustatory receptor 2a
Dmel_CG1759	cad	K09312	caudal
Dmel_CG33813	His1:CG33813	K11275	CG33813 gene product from transcript CG33813-RA
Dmel_CG33814	His2A:CG33814	K11251	CG33814 gene product from transcript CG33814-RA
Dmel_CG4980	BCAS2	K12861	BCAS2 ortholog
Dmel_CG33816	His1:CG33816	K11275	CG33816 gene product from transcript CG33816-RA
Dmel_CG33817	His2A:CG33817	K11251	CG33817 gene product from transcript CG33817-RA
Dmel_CG7359	Sec22	K08517	Sec22 ortholog (S. cerevisiae)
40080	Haspin	K16315	CG40080 gene product from transcript CG40080-RA 
Dmel_CG9900	Zw10	K11578	Zeste-white 10
Dmel_CG9901	Arp2	K17260	Actin-related protein 2
Dmel_CG9906	Cnx14D	K08054	Calnexin 14D
Dmel_CG17725	Pepck	K01596	Phosphoenolpyruvate carboxykinase 
Dmel_CG31671	tho2	K12879	CG31671 gene product from transcript CG31671-RA
Dmel_CG42641	Rpn3	K03033	Regulatory particle non-ATPase 3
Dmel_CG42640	PPO3	K00505	Prophenoloxidase 3
Dmel_CG8183	Khc-73	K17914	Kinesin heavy chain 73
Dmel_CG8182	GalNAc-T1	K00710	CG8182 gene product from transcript CG8182-RA 
Dmel_CG8186	Vha36-1	K02149	Vacuolar H[+] ATPase 36kD subunit 1 
Dmel_CG8189	ATPsyn-b	K02127	ATP synthase, subunit b 
Dmel_CG42648	mRpS34	K17412	mitochondrial ribosomal protein S34
1318	Hexo1	K12373	Hexosaminidase 1 
Dmel_CR33433	5SrRNA:CR33433	K01981	5S ribosomal RNA
Dmel_CR33419	5SrRNA:CR33419	K01981	5S ribosomal RNA
Dmel_CG7181	CoVIII	K02273	Cytochrome c oxidase subunit VIII 
Dmel_CG4780	Membrin	K08496	CG4780 gene product from transcript CG4780-RA
Dmel_CG7184	Mkrn1	K15687	Makorin 1 
Dmel_CG7186	SAK	K08863	Sak kinase 
18627	betaggt-II	K05956	beta subunit of type II geranylgeranyl transferase 
Dmel_CG7189	Gr66a	K08471	Gustatory receptor 66a
Dmel_CG8749	snRNP-U1-70K	K11093	small ribonucleoprotein particle U1 subunit 70K
Dmel_CG7055	dalao	K11651	CG7055 gene product from transcript CG7055-RA
1765	EcR	K14034	Ecdysone receptor
Dmel_CG4184	MED15	K15157	Mediator complex subunit 15
6963	gish	K08958	gilgamesh 
Dmel_CG4181	GstD2	K00799	Glutathione S transferase D2 
Dmel_CG18444	alphaTry	K01312	alphaTrypsin 
Dmel_CG4337	mtSSB	K03111	mitochondrial single stranded DNA-binding protein
Dmel_CG5124	adp	K11807	adipose
Dmel_CG5125	ninaC	K08834	neither inactivation nor afterpotential C 
Dmel_CR33386	5SrRNA:CR33386	K01981	5S ribosomal RNA
Dmel_CG18816	Tsp42Eb	K06497	Tetraspanin 42Eb
Dmel_CG8166	unc-5	K07521	CG8166 gene product from transcript CG8166-RB
Dmel_CG8165	JHDM2	K15601	JmjC domain-containing histone demethylase 2
Dmel_CG12396	Nnp-1	K14849	CG12396 gene product from transcript CG12396-RA
Dmel_CG4437	PGRP-LF	K01446	Peptidoglycan recognition protein LF 
Dmel_CG33808	His2A:CG33808	K11251	CG33808 gene product from transcript CG33808-RA
Dmel_CG17510	Fis1	K17969	CG17510 gene product from transcript CG17510-RA
Dmel_CG12390	dare	K00528	defective in the avoidance of repellents 
Dmel_CG31716	Cnot4	K10643	Cnot 4 homologue 
Dmel_CG1212	p130CAS	K16832	CG1212 gene product from transcript CG1212-RD
5504	l(2)tid	K09504	lethal (2) tumorous imaginal discs
5505	scny	K11855	scrawny
Dmel_CG1119	Gnf1	K10754	Germ line transcription factor 1
Dmel_CG12399	Mad	K04676	Mothers against dpp
Dmel_CG12154	oc	K09326	ocelliless
Dmel_CG7989	wcd	K14553	wicked
Dmel_CG12156	Rab39	K07925	CG12156 gene product from transcript CG12156-RB
Dmel_CG12405	Prx2540-1	K00430	Peroxiredoxin 2540-1 
Dmel_CG12151	Pdp	K01102	Pyruvate dehydrogenase phosphatase 
Dmel_CG12153	Hira	K11293	CG12153 gene product from transcript CG12153-RA
Dmel_CG7980	RabX5	K07921	CG7980 gene product from transcript CG7980-RB
Dmel_CG9347	ninaB	K18048	neither inactivation nor afterpotential B 
1548	cathD	K01379	CG1548 gene product from transcript CG1548-RA 
Dmel_CG1591	REG	K06698	CG1591 gene product from transcript CG1591-RB
Dmel_CG8566	unc-104	K10392	unc-104 ortholog (C. elegans)
7199	Hr78	K14031	Hormone-receptor-like in 78
6097	rt	K00728	rotated abdomen 
Dmel_CG1594	hop	K04447	hopscotch 
Dmel_CG8293	Iap2	K16060	Inhibitor of apoptosis 2 
8717	slv	K15382	saliva
Dmel_CG1599	Vamp7	K08515	Vesicle-associated membrane protein 7
8472	Cam	K02183	Calmodulin
Dmel_CG7128	Taf8	K14649	TBP-associated factor 8
Dmel_CG9580	Sdic1	K10415	Sperm-specific dynein intermediate chain 1
Dmel_CR31854	snRNA:U2:34ABb	K14277	small nuclear RNA U2 at 34ABb
Dmel_CG1378	tll	K08545	tailless
Dmel_CG5870	beta-Spec	K06115	beta Spectrin
Dmel_CG5695	jar	K10358	jaguar 
Dmel_CG9160	mtacp1	K03955	mitochondrial acyl carrier protein 1
Dmel_CG5874	Nelf-A	K15179	Negative elongation factor A
Dmel_CG5878	alpha4GT2	K01988	CG5878 gene product from transcript CG5878-RB 
Dmel_CG1374	tsh	K09236	teashirt
Dmel_CG33806	His3:CG33806	K11253	CG33806 gene product from transcript CG33806-RA
Dmel_CG4059	ftz-f1	K08705	ftz transcription factor 1
Dmel_CG5055	baz	K04237	bazooka
Dmel_CG18319	ben	K10580	bendless 
Dmel_CG5057	MED10	K15151	Mediator complex subunit 10
Dmel_CG31405	Gr85a	K08471	Gustatory receptor 85a
3881	GlcAT-S	K10812	CG3881 gene product from transcript CG3881-RA 
Dmel_CG4051	egl	K18740	egalitarian
Dmel_CG33804	His1:CG33804	K11275	CG33804 gene product from transcript CG33804-RA
Dmel_CG4057	tamo	K17595	CG4057 gene product from transcript CG4057-RA
12821	Atg10	K17888	Autophagy-specific gene 10
32867	snRNA:U6:96Ab	K14280	small nuclear RNA U6 at 96Ab
5610	nAChRalpha1	K05312	nicotinic Acetylcholine Receptor alpha1
Dmel_CG30104	NT5E-2	K01081	Ecto-5'-nucleotidase 2 
Dmel_CG7902	bap	K09995	bagpipe
Dmel_CG9762	l(3)neo18	K03961	lethal (3) neo18 
5475	p38a	K04441	p38a MAP kinase 
Dmel_CG5904	mRpS31	K17410	mitochondrial ribosomal protein S31
Dmel_CG9765	tacc	K14283	transforming acidic coiled-coil protein
Dmel_CG8361	E(spl)m7-HLH	K09090	Enhancer of split m7, helix-loop-helix
Dmel_CG8363	Papss	K13811	PAPS synthetase 
Dmel_CG8362	nmdyn-D7	K00940	CG8362 gene product from transcript CG8362-RA 
Dmel_CG8365	E(spl)m8-HLH	K09090	Enhancer of split m8, helix-loop-helix
Dmel_CG9873	RpL37b	K02922	Ribosomal protein L37b
Dmel_CG2903	Hrs	K12182	Hepatocyte growth factor regulated tyrosine kinase substrate
Dmel_CG9019	dsf	K07295	dissatisfaction
Dmel_CG5588	Mtl	K04392	Mig-2-like
Dmel_CG2272	slpr	K04417	slipper 
Dmel_CR33418	5SrRNA:CR33418	K01981	5S ribosomal RNA
Dmel_CG3642	Clp	K14404	Clipper
Dmel_CG33843	His1:CG33843	K11275	CG33843 gene product from transcript CG33843-RA
Dmel_CG5582	cln3	K12389	CG5582 gene product from transcript CG5582-RA
Dmel_CG5583	Ets98B	K09442	Ets at 98B
Dmel_CG9012	Chc	K04646	Clathrin heavy chain
Dmel_CG9013	Vha16-4	K02155	Vacuolar H[+] ATPase 16kD subunit 4 
Dmel_CG9015	en	K09319	engrailed
Dmel_CG12223	Dsp1	K10802	Dorsal switch protein 1
Dmel_CG10718	neb	K17915	nebbish 
8445	calypso	K08588	CG8445 gene product from transcript CG8445-RB
Dmel_CR33363	5SrRNA-Psi:CR33363	K01981	5S ribosomal RNA pseudogene
Dmel_CG5277	Ip259	K14842	Intronic Protein 259
8440	Lis-1	K16794	Lissencephaly-1 
Dmel_CG5271	RpS27A	K02977	Ribosomal protein S27A
Dmel_CR33367	5SrRNA:CR33367	K01981	5S ribosomal RNA
Dmel_CG18069	CaMKII	K04515	Calcium/calmodulin-dependent protein kinase II 
Dmel_CR33369	5SrRNA:CR33369	K01981	5S ribosomal RNA
Dmel_CR33368	5SrRNA:CR33368	K01981	5S ribosomal RNA
Dmel_CG14865	l(3)neo43	K18182	lethal (3) neo43
8448	mrj	K09512	CG8448 gene product from transcript CG8448-RD
Dmel_CG5279	Rh5	K04255	Rhodopsin 5
Dmel_CG12345	Cha	K00623	Choline acetyltransferase 
Dmel_CG3240	Rad1	K02830	Radiation insensitive 1
Dmel_CG11375	polybromo	K11757	CG11375 gene product from transcript CG11375-RA
Dmel_CG3173	IntS1	K13138	Integrator 1
7765	Khc	K10396	Kinesin heavy chain 
Dmel_CG10890	mus201	K10846	mutagen-sensitive 201
8224	babo	K04674	baboon 
9256	Nhe2	K12040	Na[+]/H[+] hydrogen exchanger 2
Dmel_CG11173	Snap29	K08509	Synaptosomal-associated protein 29kDa
Dmel_CG11172	NFAT	K17335	NFAT homolog
7535	GluClalpha	K05273	CG7535 gene product from transcript CG7535-RK
Dmel_CG2872	AstA-R1	K04233	Allatostatin A receptor 1
31379	snRNA:U6:96Aa	K14280	small nuclear RNA U6 at 96Aa
Dmel_CG12373	mRpL18	K02881	mitochondrial ribosomal protein L18
32672	Atg8a	K08341	Autophagy-specific gene 8a
Dmel_CG10955	Rtf1	K15178	CG10955 gene product from transcript CG10955-RB
5284	ClC-c	K05012	Chloride channel-c
Dmel_CG11397	glu	K06675	gluon 
Dmel_CG16870	Acyp	K01512	Acylphosphatase 
Dmel_CG33812	His3:CG33812	K11253	CG33812 gene product from transcript CG33812-RA
Dmel_CG2615	ik2	K05410	IkappaB kinase-like 2 
Dmel_CG9296	PrBP	K13758	Prenyl-binding protein 
Dmel_CG5479	mRpL43	K17424	mitochondrial ribosomal protein L43
Dmel_CG7331	Atg13	K08331	Autophagy-specific gene 13
Dmel_CG5474	SsRbeta	K13250	Signal sequence receptor beta
Dmel_CG5475	p38a	K04441	p38a MAP kinase 
Dmel_CG5472	Pal2	K18200	Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 2 
Dmel_CG5473	SP2637	K14662	CG5473 gene product from transcript CG5473-RC 
5271	RpS27A	K02977	Ribosomal protein S27A
4758	Trp1	K12275	Translocation protein 1
Dmel_CG10626	Lkr	K14071	Leucokinin receptor
Dmel_CG10155	Spred	K04703	Sprouty-related protein with EVH-1 domain
Dmel_CG13240	l(2)35Di	K03962	lethal (2) 35Di 
Dmel_CG31069	spn-D	K10870	spindle D 
Dmel_CG10622	Sucb	K01900	CG10622 gene product from transcript CG10622-RA 
4750	loopin-1	K01255	CG4750 gene product from transcript CG4750-RC 
Dmel_CG5671	Pten	K01110	CG5671 gene product from transcript CG5671-RB 
Dmel_CG5677	Spase22-23	K12948	Spase 22/23-subunit 
Dmel_CG15274	GABA-B-R1	K04615	metabotropic GABA-B receptor subtype 1
Dmel_CG14145	Blos2	K16750	Biogenesis of lysosome-related organelles complex 1, subunit 2
14750	Vps25	K12189	Vacuolar protein sorting 25
Dmel_CG34341	Pde11	K13298	Phosphodiesterase 11 
Dmel_CG5827	RpL37A	K02921	Ribosomal protein L37A
Dmel_CG11715	Cyp4g15	K15001	CG11715 gene product from transcript CG11715-RC 
12348	Sh	K05318	Shaker
Dmel_CG3508	Hexim	K15189	HEXIM ortholog
5878	alpha4GT2	K01988	CG5878 gene product from transcript CG5878-RB 
Dmel_CG5826	Prx3	K03386	Peroxiredoxin 3 
9968	AnxB11	K17095	Annexin B11
Dmel_CG7434	RpL22	K02891	Ribosomal protein L22
33910	His2B:CG33910	K11252	CG33910 gene product from transcript CG33910-RA
4633	Aats-ala-m	K01872	mitochondrial alanyl-tRNA synthetase 
Dmel_CG12000	Prosbeta7	K02736	Proteasome beta7 subunit 
Dmel_CG11956	SP1029	K11140	CG11956 gene product from transcript CG11956-RA 
4637	hh	K06224	hedgehog 
Dmel_CG31061	Gr98d	K08471	Gustatory receptor 98d
32072	Elo68alpha	K10249	Elongase 68alpha
Dmel_CG2054	Cht2	K01183	Chitinase 2 
6644	Ugt35a	K00699	UDP-glycosyltransferase 35a 
Dmel_CG12954	mRpL41	K17422	mitochondrial ribosomal protein L41
2204	Galphao	K04534	G protein alpha o subunit
Dmel_CG33245	Ste:CG33245	K03115	CG33245 gene product from transcript CG33245-RB
Dmel_CG33244	Ste:CG33244	K03115	CG33244 gene product from transcript CG33244-RB
Dmel_CG33247	Ste:CG33247	K03115	CG33247 gene product from transcript CG33247-RB
Dmel_CG33246	Ste:CG33246	K03115	CG33246 gene product from transcript CG33246-RB
Dmel_CG33241	Ste:CG33241	K03115	CG33241 gene product from transcript CG33241-RB
Dmel_CG33240	Ste:CG33240	K03115	CG33240 gene product from transcript CG33240-RB
Dmel_CG33243	Ste:CG33243	K03115	CG33243 gene product from transcript CG33243-RB
Dmel_CG33242	Ste:CG33242	K03115	CG33242 gene product from transcript CG33242-RB
Dmel_CG15010	ago	K10260	archipelago 
Dmel_CG10023	Fak	K05725	Focal adhesion kinase 
1913	alphaTub84B	K07374	alpha-Tubulin at 84B
Dmel_CG10021	bowl	K09215	brother of odd with entrails limited
Dmel_CG10535	Elp1	K11373	Elongator complex protein 1 
Dmel_CG15016	mRpS6	K02990	mitochondrial ribosomal protein S6
Dmel_CR33388	5SrRNA:CR33388	K01981	5S ribosomal RNA
Dmel_CR33387	5SrRNA:CR33387	K01981	5S ribosomal RNA
Dmel_CG10539	S6k	K04688	RPS6-p70-protein kinase 
43033	mir-34	K16983	mir-34 stem loop
Dmel_CR33384	5SrRNA:CR33384	K01981	5S ribosomal RNA
Dmel_CR33383	5SrRNA:CR33383	K01981	5S ribosomal RNA
Dmel_CR33382	5SrRNA:CR33382	K01981	5S ribosomal RNA
Dmel_CG11001	FK506-bp2	K09568	FK506-binding protein 2 
Dmel_CR33380	5SrRNA:CR33380	K01981	5S ribosomal RNA
Dmel_CG6773	Sec13	K14004	Sec13 ortholog (S. cerevisiae)
Dmel_CG14637	abs	K13116	abstrakt 
Dmel_CG17291	Pp2A-29B	K03456	Protein phosphatase 2A at 29B
Dmel_CG6778	Aats-gly	K01880	Glycyl-tRNA synthetase 
Dmel_CG6779	RpS3	K02985	Ribosomal protein S3 
9501	ppk14	K03440	pickpocket 14
4428	Atg4a	K08342	Autophagy-specific gene 4a 
Dmel_CG13948	Gr21a	K08471	Gustatory receptor 21a
1848	LIMK1	K05743	LIM-kinase1 
Dmel_CG4114	ex	K16683	expanded
17520	CkIIalpha	K03097	casein kinase IIalpha 
Dmel_CG17295	Rcd4	K16721	Reduction in Cnn dots 4
Dmel_CG8824	fdl	K12373	fused lobes 
12101	Hsp60	K04077	Heat shock protein 60
Dmel_CG2125	ci	K16799	cubitus interruptus
Dmel_CG6375	pit	K13179	pitchoune 
Dmel_CG6376	E2f	K06620	E2F transcription factor
Dmel_CG8825	gkt	K10862	glaikit 
Dmel_CG31992	gw	K18412	gawky
Dmel_CG6372	S-Lap1	K11142	Sperm-Leucylaminopeptidase 1 
12108	Ppt1	K01074	Palmitoyl-protein thioesterase 1 
6194	Atg4b	K08342	Autophagy-specific gene 4b 
Dmel_CG2103	pgant6	K00710	polypeptide GalNAc transferase 6 
Dmel_CG14704	PGRP-LB	K01446	Peptidoglycan recognition protein LB 
6190	Ube3a	K10587	Ubiquitin protein ligase E3A 
9438	Cyp6a2	K14999	Cytochrome P450-6a2 
Dmel_CG6451	blue	K16777	bluestreak
42320	Doa	K08823	Darkener of apricot 
Dmel_CG10443	Lar	K05695	Leukocyte-antigen-related-like 
Dmel_CG6114	sff	K08796	sugar-free frosting 
Dmel_CG3458	Top3beta	K03165	Topoisomerase 3beta 
Dmel_CG6117	Pka-C3	K04345	cAMP-dependent protein kinase 3 
9613	Coq2	K06125	Coenzyme Q biosynthesis protein 2 
33836	His3:CG33836	K11253	CG33836 gene product from transcript CG33836-RA
Dmel_CG18290	Act87E	K05692	Actin 87E
33183	Hr46	K14033	Hormone receptor-like in 46
Dmel_CG3450	ubl	K13113	ubiquitin like
6742	CenB1A	K12489	Centaurin beta 1A
Dmel_CG4583	Ire1	K08852	Inositol-requiring enzyme-1 
Dmel_CG3454	Hdc	K01590	Histidine decarboxylase 
Dmel_CG6975	gig	K07207	gigas
Dmel_CG10840	eIF5B	K03243	CG10840 gene product from transcript CG10840-RE
Dmel_CG3186	eIF-5A	K03263	CG3186 gene product from transcript CG3186-RB
Dmel_CG10843	Cyp4p3	K15001	CG10843 gene product from transcript CG10843-RA 
Dmel_CG3180	RpII140	K03010	RNA polymerase II 140kD subunit 
Dmel_CG3181	Ts	K00560	CG3181 gene product from transcript CG3181-RA 
Dmel_CG10846	dyn-p25	K10427	dynactin-subunit-p25
Dmel_CG3183	geminin	K10749	CG3183 gene product from transcript CG3183-RA
Dmel_CG10849	Sc2	K10258	CG10849 gene product from transcript CG10849-RA 
Dmel_CG8222	Pvr	K05096	PDGF- and VEGF-receptor related 
2049	Pkn	K06071	Protein kinase related to protein kinase N 
13189	Zip48C	K14717	Zinc/iron regulated transporter-related protein 48C
Dmel_CG4584	dUTPase	K01520	Deoxyuridine triphosphatase 
Dmel_CG13387	emb	K14290	embargoed
Dmel_CG1241	Atg2	K17906	Autophagy-specific gene 2
Dmel_CG12005	Mms19	K15075	CG12005 gene product from transcript CG12005-RB
Dmel_CG3002	Gga	K12404	Golgi-localized, gamma-adaptin ear containing, ARF binding protein
Dmel_CG7516	l(2)34Fd	K14788	lethal (2) 34Fd
1963	Pcd	K01724	pterin-4a-carbinolamine dehydratase 
14884	CSN5	K09613	COP9 complex homolog subunit 5
Dmel_CG6251	Nup62	K14306	Nucleoporin 62kD
Dmel_CG13389	RpS13	K02953	Ribosomal protein S13
Dmel_CG1964	Kul	K06704	Kuzbanian-like 
Dmel_CG33114	Gyc32E	K01769	Guanyl cyclase at 32E 
Dmel_CG1966	Acf1	K11655	ATP-dependent chromatin assembly factor large subunit 
Dmel_CG1967	p24-1	K14825	p24-related-1
Dmel_CG3052	HLH4C	K09075	Helix loop helix protein 4C
6620	ial	K11479	IplI-aurora-like kinase 
Dmel_CG6570	lbl	K09353	ladybird late
Dmel_CG4423	GstD6	K00799	Glutathione S transferase D6 
Dmel_CG13892	Cypl	K12733	Cyclophilin-like 
Dmel_CG4420	rngo	K11885	rings lost 
Dmel_CG3058	Dim1	K12859	CG3058 gene product from transcript CG3058-RA
Dmel_CG7225	wbl	K09586	windbeutel
4008	und	K01265	uninitiated 
Dmel_CG7735	Arl6	K07951	ADP ribosylation factor-like 6
Dmel_CG4421	GstD8	K00799	Glutathione S transferase D8 
14789	O-fut2	K03691	O-fucosyltransferase 2 
Dmel_CG3989	ade5	K01587	CG3989 gene product from transcript CG3989-RB 
Dmel_CG7223	htl	K05094	heartless 
4166	not	K11366	non-stop
Dmel_CG32578	Gpi1	K03860	CG32578 gene product from transcript CG32578-RC 
Dmel_CG6601	Rab6	K07893	CG6601 gene product from transcript CG6601-RB
Dmel_CG3986	Cht4	K01183	Chitinase 4 
Dmel_CG6603	Hsc70Cb	K09485	CG6603 gene product from transcript CG6603-RI
Dmel_CG6605	BicD	K18739	Bicaudal D
Dmel_CG6606	Rip11	K12484	Rab11 interacting protein
Dmel_CG3983	Ns1	K14538	Nucleostemin ortholog (H. sapiens) 1 
