AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT5G26240	CLC-D	K05016	chloride channel protein CLC-d
AT3G19670	PRP40B	K12821	pre-mRNA-processing protein 40B
AT5G62050	OXA1	K03217	mitochondrial inner membrane protein OXA1
AT3G27840	RPL12-B	K02935	50S ribosomal protein L12-2
AT3G61650	TUBG1	K10389	tubulin gamma-1 chain
AT1G72470	EXO70D1	K07195	exocyst subunit exo70-D1
AT5G16780	DOT2	K11984	SART-1 family protein DOT2
AT3G50500	SNRK2.2	K14498	serine/threonine-protein kinase SRK2D
AT2G22920	SCPL12	K16296	serine carboxypeptidase-like 12
AT3G53130	LUT1	K09837	carotene epsilon-monooxygenase
AT1G34670	MYB93	K09422	myb domain protein 93
AT2G31760	ARI10	K11968	putative E3 ubiquitin-protein ligase ARI10
AT2G45770	CPFTSY	K03110	cell division protein FtsY
AT1G07000	EXO70B2	K07195	exocyst subunit exo70 family protein B2
AT1G78090	TPPB	K01087	trehalose-6-phosphate phosphatase
AT4G35630	PSAT	K00831	phosphoserine aminotransferase
AT3G26420	ATRZ-1A	K12885	zinc finger-containing glycine-rich RNA-binding protein
AT3G48610	NPC6	K01114	non-specific phospholipase C6
AT5G04930	ALA1	K14802	phospholipid-transporting ATPase 1
AT4G29900	ACA10	K01537	calcium-transporting ATPase 10
AT4G34720	AVA-P1	K02155	vacuolar H+-pumping ATPase C1
AT3G02180	SP1L3	K18635	SPIRAL1-like3
AT3G12203	scpl17	K16296	serine carboxypeptidase-like 17
AT3G12750	ZIP1	K14709	zinc transporter 1
AT1G74650	MYB31	K09422	myb domain protein 31
AT3G12200	Nek7	K08857	serine/threonine-protein kinase Nek7
AT5G37510	EMB1467	K03934	NADH-ubiquinone oxidoreductase subunit
AT5G22830	MGT10	K16075	magnesium transporter 10
AT5G15470	GAUT14	K13648	probable galacturonosyltransferase 14
AT3G13330	PA200	K06699	proteasome activating protein 200
AT2G32940	AGO6	K11593	argonaute 6
AT2G43350	GPX3	K00432	glutathione peroxidase 3
AT5G18280	APY2	K14641	apyrase 2
AT1G24280	G6PD3	K00036	glucose-6-phosphate dehydrogenase 3
AT1G03630	POR_C	K00218	protochlorophyllide reductase C
AT5G12480	CPK7	K13412	calmodulin-domain protein kinase 7
AT2G38400	AGT3	K00827	alanine:glyoxylate aminotransferase 3
AT4G01560	MEE49	K14846	protein MATERNAL EFFECT EMBRYO ARREST 49
ArthMt004	tRNA-fMet	K14230	tRNA-Met
AT5G49190	SUS2	K00695	sucrose synthase 2
AT5G14780	FDH	K00122	formate dehydrogenase
AT3G44600	CYP71	K12736	cyclophilin71
AT5G57870	eIFiso4G1	K03260	putative translation initiation factor
AT5G02270	NAP9	K12608	ABC transporter I family member 20
AT1G15580	IAA5	K14484	auxin-responsive protein IAA5
AT2G31250	HEMA3	K02492	glutamyl-tRNA reductase
AT5G15650	RGP2	K13379	reversibly glycosylated polypeptide 2
AT1G33140	PGY2	K02940	60S ribosomal protein L9-1
AT1G22840	CYTC-1	K08738	cytochrome C-1
AT2G27860	AXS1	K12449	UDP-D-apiose/UDP-D-xylose synthase 1
AT5G03530	RABC2A	K07910	ras-related protein RABC2a
AT5G57090	EIR1	K13947	auxin efflux carrier component 2
AT2G44910	HB4	K09338	homeobox-leucine zipper protein ATHB-4
AT5G41210	GSTT1	K00799	glutathione S-transferase THETA 1
AT2G05840	PAA2	K02730	20S proteasome subunit PAA2
AT2G45170	ATG8E	K08341	autophagy-related protein 8e
AT1G47600	BGLU34	K01237	myrosinase 4
AT1G19150	LHCA6	K08908	PSI type II chlorophyll a/b-binding protein (Lhca2*1)
AT2G22810	ACS4	K01762	1-aminocyclopropane-1-carboxylate synthase
AT3G48560	CSR1	K01652	acetolactate synthase
AT2G28560	RAD51B	K10869	DNA repair protein RAD51B
AT2G40930	UBP5	K11835	ubiquitin-specific protease 5
AT4G31720	TAFII15	K03134	TBP-associated factor II 15
AT2G34520	RPS14	K02954	small subunit ribosomal protein S14
AT5G23630	PDR2	K14950	putative cation-transporting ATPase
AT3G09880	ATB'_BETA	K11584	serine/threonine protein phosphatase 2A regulatory subunit B prime beta isoform
AT4G35520	MLH3	K08739	DNA mismatch repair protein MLH3
AT1G15100	RHA2A	K16282	E3 ubiquitin-protein ligase RHA2A
AT3G16140	PSAH-1	K02695	photosystem I subunit H-1
AT1G20010	TUB5	K07375	tubulin beta-5 chain
AT4G14147	ARPC4	K05755	actin related protein 2/3 complex, subunit 4
AT1G77180	SKIP	K06063	putative transcription factor SKIP
AT5G04620	BIOF	K00652	7-keto-8-aminopelargonic acid (KAPA) synthase
AT4G14140	DMT2	K00558	DNA methyltransferase 2
AT5G18580	FASS	K11583	probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
AT3G28380	PGP17	K05658	ABC transporter B family member 17
AT4G20780	CML42	K13448	calcium-binding protein CML42
AT3G19290	ABF4	K14432	ABRE binding factor 4
AT2G14120	DRP3B	K17065	dynamin-related protein 3B
AT2G44350	ATCS	K01647	citrate synthase 4
AT3G63250	HMT2	K00547	homocysteine S-methyltransferase 2
AT5G09900	EMB2107	K03035	26S proteasome regulatory particle non-ATPase subunit 5A
AT3G44460	DPBF2	K14432	basic leucine zipper transcription factor 67
AT1G64750	DSS1(I)	K10881	probable 26S proteasome complex subunit sem1-1
AT2G41100	TCH3	K13448	calmodulin-like protein 4
AT1G80900	MGT1	K16075	magnesium transporter MRS2-10
AT5G55500	XYLT	K03714	beta-(1,2)-xylosyltransferase
AT1G48410	AGO1	K11593	protein argonaute 1
AT3G45640	MPK3	K04371	mitogen-activated protein kinase 3
AT5G19400	SMG7	K14409	EST1 domain protein SMG7
AT4G00660	RH8	K12614	DEAD-box ATP-dependent RNA helicase 8
AT3G19450	ATCAD4	K00083	cinnamyl alcohol dehydrogenase 4
AT2G45440	DHDPS2	K01714	dihydrodipicolinate synthase
AT2G20160	MEO	K03094	SKP1-like protein 17
AT5G66570	PSBO1	K02716	PS II oxygen-evolving complex 1
AT5G08470	PEX1	K13338	peroxisome biogenesis protein 1
AT5G58850	MYB119	K09422	myb domain protein 119
AT4G00360	CYP86A2	K15398	cytochrome P450 86A2
AT2G35370	GDCH	K02437	glycine decarboxylase complex protein H
AT5G19790	RAP2.11	K09286	ethylene-responsive transcription factor RAP2-11
AT3G25800	PP2AA2	K03456	protein phosphatase 2A subunit A2
AT1G19730	ATTRX4	K03671	thioredoxin H4
AT1G53830	PME2	K01051	pectin methylesterase 2
AT3G07100	ERMO2	K14007	sec24-like transport protein
AT5G15090	VDAC3	K15040	voltage dependent anion channel 3
AT3G45240	GRIK1	K07359	serine/threonine-protein kinase GRIK1
AT5G11590	TINY2	K09286	dehydration-responsive element-binding protein 3
AT1G61120	TPS04	K17982	terpene synthase 04
AT1G62430	CDS1	K00981	phosphatidate cytidylyltransferase
AT5G14250	COP13	K12177	COP9 signalosome complex subunit 3
AT2G29410	MTPB1	K14689	metal tolerance protein B1
ArthMp035	atp6-1	K02126	ATPase subunit 6
AT3G16320	CDC27a	K03350	cell division cycle protein 27-A
AT3G16857	RR1	K14491	response regulator 1
AT1G60430	ARPC3	K05756	actin-related protein C3
AT3G49010	BBC1	K02873	60S ribosomal protein L13-1
AT1G79840	GL2	K09338	homeobox-leucine zipper protein GLABRA 2
AT5G63110	HDA6	K06067	RPD3-like histone deacetylase
AT1G47990	GA2OX4	K04125	gibberellin 2-oxidase 4
AT3G48010	CNGC16	K05391	cyclic nucleotide-gated channel 16
AT4G16700	PSD1	K01613	phosphatidylserine decarboxylase 1
AT3G23630	IPT7	K10760	adenylate isopentenyltransferase 7
AT3G11670	DGD1	K09480	digalactosyldiacylglycerol synthase 1
AT5G23300	PYRD	K00254	dihydroorotate dehydrogenase
AT5G27680	RECQSIM	K10900	RECQ helicase SIM
AT5G14200	IMD1	K00052	isopropylmalate dehydrogenase 1
AT5G24400	EMB2024	K01057	6-phosphogluconolactonase
AT2G16700	ADF5	K05765	actin depolymerizing factor 5
AT4G14960	TUA6	K07374	tubulin alpha-6 chain
AT1G14980	CPN10	K04078	chaperonin 10
AT3G60830	ARP7	K16615	actin-related protein 7
AT5G46180	DELTA-OAT	K00819	ornithine-delta-aminotransferase
AT3G04810	NEK2	K08857	serine/threonine-protein kinase Nek2
AT3G02660	emb2768	K01866	tyrosyl-tRNA synthetase
AT1G18040	CDKD1;3	K02202	cyclin-dependent kinase D1;3
AT5G14220	HEMG2	K00231	protoporphyrinogen oxidase-like protein
AT5G47320	RPS19	K02965	40S ribosomal protein S19
AT2G41210	PIP5K5	K00889	phosphatidylinositol-4-phosphate 5-kinase 5
AT1G01090	PDH-E1_ALPHA	K00161	pyruvate dehydrogenase E1 alpha subunit
AT3G43600	AAO2	K11817	aldehyde oxidase 2
AT2G45200	GOS12	K08495	Golgi SNARE 12 protein
AT4G35460	NTRB	K00384	thioredoxin reductase 1
AT2G46860	PPa3	K01507	pyrophosphorylase 3
AT3G03910	GDH3	K00261	glutamate dehydrogenase 3
AT3G60820	PBF1	K02732	proteasome subunit beta type-1
AT1G03360	RRP4	K03679	ribosomal RNA processing protein 4
AT1G32130	IWS1	K17498	IWS1-like protein
AT5G63540	RMI1	K10990	protein RECQ MEDIATED INSTABILITY 1
AT3G09370	MYB3R-3	K09422	c-myb-like transcription factor MYB3R3
AT1G79930	HSP91	K09489	heat shock protein 91
AT1G03190	UVH6	K10844	DNA repair helicase UVH6
AT5G47100	CBL9	K06268	calcineurin B-like protein 9
AT5G47450	TIP2;3	K09873	aquaporin TIP2-3
AT4G33950	OST1	K14498	calcium-independent ABA-activated protein kinase
AT5G51820	PGM	K01835	phosphoglucomutase
AT5G56290	PEX5	K13342	peroxisome biogenesis protein 5
AT2G23030	SNRK2.9	K14498	serine/threonine-protein kinase SNRK2.9
AT2G23930	SNRNP-G	K11099	probable small nuclear ribonucleoprotein G
AT2G26000	BRIZ2	K10632	RING domain containing protein BRIZ2
AT5G01410	RSR4	K06215	Pyridoxal biosynthesis protein PDX1.3
AT5G10790	UBP22	K11366	ubiquitin-specific protease 22
AT2G36250	FTSZ2-1	K03531	cell division protein FtsZ homolog 2-1
AT3G22830	HSFA6B	K09419	heat stress transcription factor A-6b
AT5G43340	PHT1;6	K08176	putative inorganic phosphate transporter 1-6
AT1G02850	BGLU11	K01188	beta glucosidase 11
AT3G56990	EDA7	K14788	embryo sac development arrest 7 protein
AT1G50840	POLGAMMA2	K02335	polymerase gamma 2
AT1G66270	BGLU21	K01188	beta-glucosidase 21
ArthCt098	trnT	K14234	tRNA-Thr
AT1G12900	GAPA-2	K05298	glyceraldehyde 3-phosphate dehydrogenase GAPA2
AT1G22710	SUC2	K15378	sucrose transport protein SUC2
AT2G40100	LHCB4.3	K08915	light harvesting complex photosystem II
AT3G61130	GAUT1	K13648	alpha-1,4-galacturonosyltransferase 1
AT2G47730	GSTF8	K00799	glutathione S-transferase phi 8
AT3G11980	MS2	K13356	fatty acyl-CoA reductase 2
AT3G07630	ADT2	K05359	arogenate dehydratase 2
AT4G04870	CLS	K08744	cardiolipin synthase
AT2G19830	SNF7.2	K12194	vacuolar protein sorting-associated protein 32-1
AT2G41680	NTRC	K00384	NADPH-dependent thioredoxin reductase C
AT4G23650	CDPK6	K13412	calcium-dependent protein kinase 6
AT4G27550	TPS4	K16055	putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 4
AT3G50070	CYCD3;3	K14505	cyclin-D3-3
AT1G45233	THO5	K13174	THO complex, subunit 5
AT2G47110	UBQ6	K02977	ubiquitin-40S ribosomal protein S27a-2
AT4G25200	HSP23.6-MITO	K13993	small heat shock protein 23.6
AT5G52560	USP	K12447	UDP-sugar pyrophosphorylase
AT5G17330	GAD	K01580	glutamate decarboxylase 1
AT3G51895	SULTR3;1	K17471	sulfate transporter 3;1
AT1G77490	TAPX	K00434	L-ascorbate peroxidase
AT1G80460	NHO1	K00864	glycerol kinase
AT5G24090	CHIA	K01183	chitinase A
AT2G16650	PRORP2	K18213	proteinaceous RNase P 2
AT5G61760	IPK2BETA	K00915	inositol polyphosphate multikinase beta
AT2G32120	HSP70T-2	K09489	heat-shock protein 70T-2
AT1G02145	ALG12	K03847	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase
AT1G27770	ACA1	K01537	autoinhibited Ca2+-ATPase 1
AT4G18910	NIP1;2	K09874	NOD26-like intrinsic protein 1;2
AT4G04970	GSL1	K11000	glucan synthase-like 1
AT5G64990	RABH1a	K07976	RAB GTPase homolog H1A
AT1G55310	SR33	K12900	SC35-like splicing factor 33
AT5G60360	ALP	K01366	thiol protease aleurain
AT1G55860	UPL1	K10592	ubiquitin-protein ligase 1
ArthCt094	trnC	K14222	tRNA-Cys
AT1G09180	SARA1A	K07953	secretion-associated RAS 1 protein
AT5G63890	HDH	K00013	Histidinol dehydrogenase
AT2G27530	PGY1	K02865	60S ribosomal protein L10a-2
ArthCt095	trnD	K14221	tRNA-Asp
AT3G23490	CYN	K01725	cyanate hydratase
AT1G78970	LUP1	K15816	lupeol synthase 1
AT3G09790	UBQ8	K08770	polyubiquitin 8
AT5G61010	EXO70E2	K07195	exocyst subunit exo70 family protein E2
AT2G24640	UBP19	K11855	ubiquitin carboxyl-terminal hydrolase 19
AT1G10070	BCAT-2	K00826	branched-chain-amino-acid aminotransferase 2
AT3G21840	SK7	K03094	SKP1-like protein 7
AT3G57150	NAP57	K11131	putative pseudouridine synthase NAP57
AT5G64040	PSAN	K02701	photosystem I reaction center subunit N
AT2G16280	KCS9	K15397	3-ketoacyl-CoA synthase 9
AT2G32460	MYB101	K09422	myb domain protein 101
AT4G17615	CBL1	K06268	calcineurin B-like protein 1
AT2G22140	EME1B	K10882	essential meiotic endonuclease 1B
AT3G55530	SDIR1	K16283	E3 ubiquitin-protein ligase SDIR1
AT5G17020	XPO1A	K14290	exportin 1A
AT1G29990	PFD6	K04798	prefoldin 6
AT2G32260	CCT1	K00968	phosphorylcholine cytidylyltransferase
AT3G10050	OMR1	K01754	threonine dehydratase
AT1G28130	GH3.17	K14487	indole-3-acetic acid-amido synthetase GH3.17
AT4G32410	CESA1	K10999	cellulose synthase A catalytic subunit 1 [UDP-forming]
AT2G19520	FVE	K10752	WD-40 repeat-containing protein MSI4
AT1G16590	REV7	K13728	putative translesion synthesis polymerase zeta subunit REV7
AT2G26260	3BETAHSD/D2	K07748	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2
AT5G05590	PAI2	K01817	phosphoribosylanthranilate isomerase 2
AT5G65110	ACX2	K00232	acyl-coenzyme A oxidase 2
AT3G57550	AGK2	K00942	guanylate kinase
AT5G06150	CYC1BAT	K05868	cyclin-B1-2
AT5G40580	PBB2	K02739	20S proteasome beta subunit PBB2
AT5G61160	AACT1	K14329	anthocyanin 5-aromatic acyltransferase 1
AT4G23920	UGE2	K01784	UDP-glucose 4-epimerase 2
AT1G28560	SRD2	K15210	protein shoot redifferentiation defective 2
AT1G10500	CPISCA	K13628	Iron-sulfur assembly protein IscA
AT5G21120	EIL2	K14514	ethylene insensitive 3-like 2 protein
AT3G50100	SDN1	K14570	small RNA degrading nuclease 1
AT5G42750	BKI1	K14499	BRI1 kinase inhibitor 1
AT2G28860	CYP710A4	K09832	cytochrome P450 710A4
AT5G57030	LUT2	K06444	lycopene epsilon cyclase
AT4G29350	PFN2	K05759	profilin 2
AT5G47910	RBOHD	K13447	respiratory burst oxidase-D
AT4G33270	CDC20.1	K03363	cell division cycle 20.1, cofactor of APC complex
AT5G55230	MAP65-1	K16732	microtubule-associated protein 65-1
AT3G47470	LHCA4	K08910	chlorophyll a-b binding protein 4
AT1G34260	FAB1D	K00921	putative 1-phosphatidylinositol-3-phosphate 5-kinase
AT3G05090	LRS1	K15361	protein lateral root stimulator 1
AT5G16260	ELF9	K13093	RNA binding protein ELF9
AT1G69410	ELF5A-3	K03263	eukaryotic translation initiation factor 5A-3
AT5G06620	SDG38	K11426	SET domain protein 38
AT5G13320	PBS3	K14487	4-substituted benzoates-glutamate ligase GH3.12
AT1G70940	PIN3	K13947	auxin efflux carrier component 3
AT5G63570	GSA1	K01845	glutamate-1-semialdehyde-2,1-aminomutase
AT5G52100	crr1	K16908	putative 4-hydroxy-tetrahydrodipicolinate reductase 3
AT4G17050	UGLYAH	K14977	ureidoglycine aminohydrolase
AT4G28680	TYRDC	K01592	tyrosine decarboxylase
AT2G16390	DRD1	K10875	putative chromatin remodeling protein
AT4G37770	ACS8	K01762	1-aminocyclopropane-1-carboxylate synthase 8
AT3G53920	SIGC	K03093	RNA polymerase sigma-subunit C
AT5G61380	TOC1	K12127	two-component response regulator-like APRR1
AT1G65430	ARI8	K11968	putative E3 ubiquitin-protein ligase ARI8
AT2G46410	CPC	K09422	transcription factor CPC
AT3G10450	SCPL7	K16296	serine carboxypeptidase-like 7
AT2G07560	HA6	K01535	H(+)-ATPase 6
AT1G31230	AK-HSDH_I	K12524	bifunctional aspartokinase/homoserine dehydrogenase 1
AT4G26200	ACS7	K01762	1-aminocyclopropane-1-carboxylate synthase 7
AT4G21000	ACA6	K01674	alpha carbonic anhydrase 6
AT1G78390	NCED9	K09840	9-cis-epoxycarotenoid dioxygenase
AT4G37910	mtHsc70-1	K04043	heat shock protein 70-1
AT1G71890	SUC5	K15378	sucrose transport protein SUC5
AT1G10470	ARR4	K14492	two-component response regulator ARR4
AT3G53030	SRPK4	K08832	ser/arg-rich protein kinase 4
AT5G28540	BIP1	K09490	Luminal-binding protein 1
AT4G28510	PHB1	K17081	prohibitin 1
AT4G05410	YAO	K14793	WD40-repeats containing protein YAOZHE
AT4G12800	PSAL	K02699	photosystem I subunit L
AT3G21630	CERK1	K13429	chitin elicitor receptor kinase 1
AT1G11475	NRPB10	K03007	DNA-directed RNA polymerases II, IV and V subunit 10
AT5G42980	TRX3	K03671	thioredoxin H3
AT1G21710	OGG1	K03660	8-oxoguanine-DNA glycosylase 1
AT2G34420	LHB1B2	K08912	photosystem II light harvesting complex protein B1B2
AT1G16460	RDH2	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase 2
AT5G44750	REV1	K03515	DNA repair protein REV1
AT1G74710	EDS16	K02552	Isochorismate synthase 1
AT3G25100	CDC45	K06628	cell division control protein 45
AT1G30490	PHV	K09338	homeobox-leucine zipper protein ATHB-9
AT3G54820	PIP2;5	K09872	putative aquaporin PIP2-5
AT3G23990	HSP60	K04077	heat shock protein 60
AT5G12030	HSP17.6A	K13993	heat shock protein 17.6A
AT5G63400	ADK1	K00939	adenylate kinase 1
AT1G10870	AGD4	K12489	ADP-ribosylation factor GTPase-activating protein AGD4
AT1G30120	PDH-E1_BETA	K00162	pyruvate dehydrogenase E1 beta
AT2G14610	PR1	K13449	pathogenesis-related protein 1
AT1G11870	SRS	K01875	Seryl-tRNA synthetase
AT3G10230	LYC	K06443	lycopene beta cyclase
AT1G19050	ARR7	K14492	two-component response regulator ARR7
AT3G06190	BPM2	K10523	BTB/POZ and M2 domain-containing protein
AT5G53160	RCAR3	K14496	regulatory component of ABA receptor 3
AT4G18350	NCED2	K09840	9-cis-epoxycarotenoid dioxygenase NCED2
AT3G52720	ACA1	K01674	alpha carbonic anhydrase 1
AT4G01026	PYL7	K14496	abscisic acid receptor PYL7
AT3G27850	RPL12-C	K02935	50S ribosomal protein L12-3
AT3G21730	FOLB3	K01633	Dihydroneopterin aldolase
AT3G06350	MEE32	K13832	bi-functional dehydroquinate-shikimate dehydrogenase
AT2G30420	ETC2	K09422	protein ENHANCER OF TRY AND CPC 2
AT2G34390	NIP2;1	K09874	aquaporin NIP2-1
AT5G03630	ATMDAR2	K08232	monodehydroascorbate reductase (NADH)
AT5G07990	TT7	K05280	Flavonoid 3'-monooxygenase
AT4G05520	EHD2	K12483	EPS15 homology domain 2 protein
AT5G08080	SYP132	K08486	syntaxin of plants 132
AT2G35530	bZIP16	K09060	basic region/leucine zipper transcription factor 16
AT5G45400	RPA70C	K07466	replication protein RPA70C
AT1G49300	RABG3E	K07976	RAB GTPase homolog G3E
ArthCt116	trnG	K14225	tRNA-Gly
AT1G43190	PTB3	K14948	polypyrimidine tract-binding protein 3
AT3G12580	HSP70	K03283	heat shock protein 70-4
AT1G78320	GSTU23	K00799	glutathione S-transferase TAU 23
AT2G34555	ATGA2OX3	K04125	gibberellin 2-beta-dioxygenase 3
AT4G14710	ATARD2	K08967	acireductone dioxygenase 2
AT4G36480	LCB1	K00654	serine palmitoyltransferase
AT1G53165	ATMAP4K_ALPHA1	K08838	map 4 kinase alpha1
AT5G04940	SUVH1	K11420	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1
AT3G28730	HMG	K09272	FACT complex subunit SSRP1
AT4G11150	TUF	K02150	V-type proton ATPase subunit E1
AT2G17370	HMG2	K00021	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2
AT2G29570	PCNA2	K04802	proliferating cell nuclear antigen 2
AT1G11310	MLO2	K08472	MLO-like protein 2
AT1G34460	CYCB1;5	K05868	cyclin-B1-5
AT4G34030	MCCB	K01969	methylcrotonoyl-CoA carboxylase beta chain
AT1G46264	HSFB4	K09419	heat stress transcription factor SCHIZORIZA
AT4G04780	MED21	K15152	mediator of RNA polymerase II transcription subunit 21
AT2G43360	BIO2	K01012	biotin synthase
AT1G04610	YUC3	K11816	flavin-containing monooxygenase YUCCA3
AT5G15310	MYB16	K09422	myb domain protein 16
AT2G31260	APG9	K17907	protein autophagy 9
AT5G15860	PCME	K15889	prenylcysteine methylesterase
AT2G38470	WRKY33	K13424	putative WRKY transcription factor 33
AT1G24490	ALB4	K03217	protein ALBINA 4
AT3G06010	ATCHR12	K11647	SNF2/Brahma-type chromatin-remodeling protein CHR12
AT5G19320	RANGAP2	K14319	RAN GTPase-activating protein 2
AT5G35600	HDA7	K06067	histone deacetylase7
AT1G80860	PLMT	K00550	phospholipid N-methyltransferase
AT1G74040	IMS1	K01649	2-isopropylmalate synthase 2
AT5G08260	scpl35	K16297	serine carboxypeptidase-like 35
AT5G03520	RAB8C	K07901	ras-related protein RABE1d
AT1G78570	RHM1	K12450	UDP-L-rhamnose synthase
AT4G39980	DHS1	K01626	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1
AT4G25540	MSH3	K08736	DNA mismatch repair protein MSH3
AT1G25380	NDT2	K15115	NAD+ transporter 2
AT1G26355	SP1L1	K18635	protein SPIRAL1-like1
AT1G08910	EMB3001	K04706	zinc ion binding protein
AT2G28550	RAP2.7	K09284	TARGET OF EARLY ACTIVATION TAGGED 1
AT1G08260	TIL1	K02324	DNA polymerase epsilon catalytic subunit A
AT4G14040	SBP2	K17285	selenium-binding protein 2
AT4G30270	XTH24	K08235	xyloglucan endotransglucosylase/hydrolase protein 24
AT1G78370	GSTU20	K00799	glutathione S-transferase TAU 20
AT1G52760	LysoPL2	K18368	lysophospholipase 2
AT1G04920	SPS3F	K00696	sucrose-phosphate synthase
AT4G05320	UBQ10	K08770	polyubiquitin 10
AT3G28390	PGP18	K05658	ABC transporter B family member 18
AT5G11210	GLR2.5	K05387	glutamate receptor 2.5
AT5G28080	WNK9	K08867	putative serine/threonine-protein kinase WNK9
AT2G26870	NPC2	K01114	non-specific phospholipase C2
AT5G37055	SEF	K11663	SWR1 complex subunit 6
AT2G42160	BRIZ1	K10632	RING domain containing protein BRIZ1
AT5G22220	E2F1	K06620	E2F transcription factor 1
AT1G04100	IAA10	K14484	auxin-responsive protein IAA10
AT4G14150	PAKRP1	K10400	phragmoplast-associated kinesin-related protein 1
AT3G02870	VTC4	K10047	L-galactose-1-phosphate phosphatase
AT3G19280	FUT11	K00753	glycoprotein 3-alpha-L-fucosyltransferase A
AT4G15570	MAA3	K10706	probable helicase MAGATAMA 3
AT3G02875	ILR1	K14664	IAA-amino acid hydrolase ILR1
AT3G16260	TRZ4	K00784	tRNAse Z4
AT1G33540	scpl18	K16296	serine carboxypeptidase-like 18
AT4G14880	OASA1	K01738	O-acetylserine (thiol) lyase (OAS-TL) isoform A1
AT4G10250	ATHSP22.0	K13993	heat shock protein 22
AT5G56600	PRF3	K05759	profilin 3
AT1G79940	ATERDJ2A	K09540	J domain protein ATERDJ2A
AT1G63990	SPO11-2	K10878	meiotic recombination protein SPO11-2
AT2G18260	SYP112	K08486	syntaxin-112
AT4G21270	ATK1	K10405	kinesin-like motor protein heavy chain
AT3G03450	RGL2	K14494	DELLA protein RGL2
AT5G37810	NIP4;1	K09874	putative aquaporin NIP4-1
AT3G61510	ACS1	K01762	1-aminocyclopropane-1-carboxylate synthase
AT5G58860	CYP86A1	K15401	cytochrome P450 86A1
AT1G22940	TH1	K14153	thiamine biosynthetic bifunctional enzyme TH1
